



No,対象資産,銘柄コード,銘柄名,約定日,受渡日,償還日,利率,取引種別,種別_取込,発行,換算レート,買数量,買簿価,売数量,取引プライス,売買損益,売却/償還
 1 ,国内債券,JPSAMPLE0001,東京都公募公債(5年),2021/05/15,2021/05/21,2022/10/30,0.01059,普通,公募地方債,JPY,1,239400000,250005420,,104.43,0,
 2 ,国内債券,JPSAMPLE0002,利付国債(10年）#1,2021/05/01,2021/05/08,2025/03/31,0.014,普通,長期国債,JPY,1,,,5000000000,106.181,240774890,売却
 3 ,国内債券,JPSAMPLE0003,利付国債(10年）#2,2021/05/01,2021/05/08,2025/03/31,0.014,普通,長期国債,JPY,1,,,5000000000,106.153,239374890,売却
 4 ,国内債券,JPSAMPLE0004,○○支援機構債（貸付債）#1,2021/05/02,2021/05/09,2025/08/25,0.0084,普通,その他公団公社公庫債,JPY,1,,,9772000,100,0,売却
 5 ,国内債券,JPSAMPLE0005,○○支援機構債（貸付債）#2,2021/05/02,2021/05/09,2023/08/25,0.006,普通,その他公団公社公庫債,JPY,1,,,11097000,100,0,売却
 6 ,国内債券,JPSAMPLE0006,○○支援機構債（貸付債）#3,2021/05/02,2021/05/09,2022/08/25,0.008,普通,その他公団公社公庫債,JPY,1,,,8808000,100,0,売却
 7 ,国内債券,JPSAMPLE0007,○○支援機構債（貸付債）#4,2021/05/02,2021/05/09,2023/08/25,0.0074,普通,その他公団公社公庫債,JPY,1,,,3486000,100,0,売却
 8 ,国内債券,JPSAMPLE0008,○○支援機構債（貸付債）#5,2021/05/02,2021/05/09,2024/08/25,0.0081,普通,その他公団公社公庫債,JPY,1,,,8380000,100,0,売却
 9 ,国内債券,JPSAMPLE0009,○○支援機構債（貸付債）#6,2021/05/02,2021/05/09,2025/08/25,0.0074,普通,その他公団公社公庫債,JPY,1,,,2368000,100,0,売却
 10 ,国内債券,JPSAMPLE0010,××会社無担保社債#1,2021/05/07,2021/05/10,2025/08/25,0.00278,普通,公募事業債,JPY,1,,,2000000000,100.202,3228701,売却
 11 ,国内債券,JPSAMPLE0011,××会社無担保社債#2,2021/05/07,2021/05/10,2023/08/25,0.00313,普通,公募事業債,JPY,1,,,900000000,100.492,3730647,売却
 12 ,国内債券,JPSAMPLE0012,××会社無担保社債#3,2021/05/07,2021/05/10,2023/08/25,0.00436,普通,公募事業債,JPY,1,,,600000000,100.772,3531562,売却
 13 ,国内債券,JPSAMPLE0013,神奈川県公募公債,2021/05/08,2021/05/11,2022/09/30,0.0117,普通,公募地方債,JPY,1,100000000,104809000,,104.809,0,
 14 ,国内債券,JPSAMPLE0014,千葉県公募公債,2021/05/09,2021/05/14,2022/09/30,0.01315,普通,公募地方債,JPY,1,100000000,105543000,,105.543,0,
 15 ,国内債券,JPSAMPLE0015,さいたま市公募公債,2021/05/10,2021/05/15,2023/10/30,0.0127,普通,公募地方債,JPY,1,100000000,105305000,,105.305,0,
 16 ,国内債券,JPSAMPLE0016,水戸市公募公債,2021/05/11,2021/05/16,2023/10/30,0.00137,普通,公募地方債,JPY,1,100000000,99739000,,99.739,0,
